Name,Sector,Symbol
3M Company,Industrials,MMM
A.O. Smith Corp,Industrials,AOS
Abbott Laboratories,Health Care,ABT
AbbVie Inc.,Health Care,ABBV
Accenture plc,Information Technology,ACN
Activision Blizzard,Information Technology,ATVI
Acuity Brands Inc,Industrials,AYI
Adobe Systems Inc,Information Technology,ADBE
Advance Auto Parts,Consumer Discretionary,AAP
Advanced Micro Devices Inc,Information Technology,AMD
AES Corp,Utilities,AES
Aetna Inc,Health Care,AET
Affiliated Managers Group Inc,Financials,AMG
AFLAC Inc,Financials,AFL
Agilent Technologies Inc,Health Care,A
Air Products & Chemicals Inc,Materials,APD
Akamai Technologies Inc,Information Technology,AKAM
Alaska Air Group Inc,Industrials,ALK
Albemarle Corp,Materials,ALB
Alexandria Real Estate Equities Inc,Real Estate,ARE
Alexion Pharmaceuticals,Health Care,ALXN
Align Technology,Health Care,ALGN
Allegion,Industrials,ALLE
"Allergan, Plc",Health Care,AGN
Alliance Data Systems,Information Technology,ADS
Alliant Energy Corp,Utilities,LNT
Allstate Corp,Financials,ALL
Alphabet Inc Class A,Information Technology,GOOGL
Alphabet Inc Class C,Information Technology,GOOG
Altria Group Inc,Consumer Staples,MO
Amazon.com Inc.,Consumer Discretionary,AMZN
Ameren Corp,Utilities,AEE
American Airlines Group,Industrials,AAL
American Electric Power,Utilities,AEP
American Express Co,Financials,AXP
"American International Group, Inc.",Financials,AIG
American Tower Corp A,Real Estate,AMT
American Water Works Company Inc,Utilities,AWK
Ameriprise Financial,Financials,AMP
AmerisourceBergen Corp,Health Care,ABC
AMETEK Inc.,Industrials,AME
Amgen Inc.,Health Care,AMGN
Amphenol Corp,Information Technology,APH
Anadarko Petroleum Corp,Energy,APC
"Analog Devices, Inc.",Information Technology,ADI
Andeavor,Energy,ANDV
ANSYS,Information Technology,ANSS
Anthem Inc.,Health Care,ANTM
Aon plc,Financials,AON
Apache Corporation,Energy,APA
Apartment Investment & Management,Real Estate,AIV
Apple Inc.,Information Technology,AAPL
Applied Materials Inc.,Information Technology,AMAT
Aptiv Plc,Consumer Discretionary,APTV
Archer-Daniels-Midland Co,Consumer Staples,ADM
Arconic Inc.,Industrials,ARNC
Arthur J. Gallagher & Co.,Financials,AJG
Assurant Inc.,Financials,AIZ
AT&T Inc.,Telecommunication Services,T
Autodesk Inc.,Information Technology,ADSK
Automatic Data Processing,Information Technology,ADP
AutoZone Inc,Consumer Discretionary,AZO
"AvalonBay Communities, Inc.",Real Estate,AVB
Avery Dennison Corp,Materials,AVY
"Baker Hughes, a GE Company",Energy,BHGE
Ball Corp,Materials,BLL
Bank of America Corp,Financials,BAC
Baxter International Inc.,Health Care,BAX
BB&T Corporation,Financials,BBT
Becton Dickinson,Health Care,BDX
Berkshire Hathaway,Financials,BRK.B
Best Buy Co. Inc.,Consumer Discretionary,BBY
Biogen Inc.,Health Care,BIIB
BlackRock,Financials,BLK
Block H&R,Financials,HRB
Boeing Company,Industrials,BA
Booking Holdings Inc,Consumer Discretionary,BKNG
BorgWarner,Consumer Discretionary,BWA
Boston Properties,Real Estate,BXP
Boston Scientific,Health Care,BSX
Brighthouse Financial Inc,Financials,BHF
Bristol-Myers Squibb,Health Care,BMY
Broadcom,Information Technology,AVGO
Brown-Forman Corp.,Consumer Staples,BF.B
C. H. Robinson Worldwide,Industrials,CHRW
"CA, Inc.",Information Technology,CA
Cabot Oil & Gas,Energy,COG
Cadence Design Systems,Information Technology,CDNS
Campbell Soup,Consumer Staples,CPB
Capital One Financial,Financials,COF
Cardinal Health Inc.,Health Care,CAH
Carmax Inc,Consumer Discretionary,KMX
Carnival Corp.,Consumer Discretionary,CCL
Caterpillar Inc.,Industrials,CAT
Cboe Global Markets,Financials,CBOE
CBRE Group,Real Estate,CBRE
CBS Corp.,Consumer Discretionary,CBS
Celgene Corp.,Health Care,CELG
Centene Corporation,Health Care,CNC
CenterPoint Energy,Utilities,CNP
CenturyLink Inc,Telecommunication Services,CTL
Cerner,Health Care,CERN
CF Industries Holdings Inc,Materials,CF
Charles Schwab Corporation,Financials,SCHW
Charter Communications,Consumer Discretionary,CHTR
Chevron Corp.,Energy,CVX
Chipotle Mexican Grill,Consumer Discretionary,CMG
Chubb Limited,Financials,CB
Church & Dwight,Consumer Staples,CHD
CIGNA Corp.,Health Care,CI
Cimarex Energy,Energy,XEC
Cincinnati Financial,Financials,CINF
Cintas Corporation,Industrials,CTAS
Cisco Systems,Information Technology,CSCO
Citigroup Inc.,Financials,C
Citizens Financial Group,Financials,CFG
Citrix Systems,Information Technology,CTXS
CME Group Inc.,Financials,CME
CMS Energy,Utilities,CMS
Coca-Cola Company (The),Consumer Staples,KO
Cognizant Technology Solutions,Information Technology,CTSH
Colgate-Palmolive,Consumer Staples,CL
Comcast Corp.,Consumer Discretionary,CMCSA
Comerica Inc.,Financials,CMA
Conagra Brands,Consumer Staples,CAG
Concho Resources,Energy,CXO
ConocoPhillips,Energy,COP
Consolidated Edison,Utilities,ED
Constellation Brands,Consumer Staples,STZ
Corning Inc.,Information Technology,GLW
Costco Wholesale Corp.,Consumer Staples,COST
"Coty, Inc",Consumer Staples,COTY
Crown Castle International Corp.,Real Estate,CCI
CSRA Inc.,Information Technology,CSRA
CSX Corp.,Industrials,CSX
Cummins Inc.,Industrials,CMI
CVS Health,Consumer Staples,CVS
D. R. Horton,Consumer Discretionary,DHI
Danaher Corp.,Health Care,DHR
Darden Restaurants,Consumer Discretionary,DRI
DaVita Inc.,Health Care,DVA
Deere & Co.,Industrials,DE
Delta Air Lines Inc.,Industrials,DAL
Dentsply Sirona,Health Care,XRAY
Devon Energy Corp.,Energy,DVN
Digital Realty Trust Inc,Real Estate,DLR
Discover Financial Services,Financials,DFS
Discovery Inc. Class A,Consumer Discretionary,DISCA
Discovery Inc. Class C,Consumer Discretionary,DISCK
Dish Network,Consumer Discretionary,DISH
Dollar General,Consumer Discretionary,DG
Dollar Tree,Consumer Discretionary,DLTR
Dominion Energy,Utilities,D
Dover Corp.,Industrials,DOV
DowDuPont,Materials,DWDP
Dr Pepper Snapple Group,Consumer Staples,DPS
DTE Energy Co.,Utilities,DTE
Duke Energy,Utilities,DUK
Duke Realty Corp,Real Estate,DRE
DXC Technology,Information Technology,DXC
E*Trade,Financials,ETFC
Eastman Chemical,Materials,EMN
Eaton Corporation,Industrials,ETN
eBay Inc.,Information Technology,EBAY
Ecolab Inc.,Materials,ECL
Edison Int'l,Utilities,EIX
Edwards Lifesciences,Health Care,EW
Electronic Arts,Information Technology,EA
Emerson Electric Company,Industrials,EMR
Entergy Corp.,Utilities,ETR
Envision Healthcare,Health Care,EVHC
EOG Resources,Energy,EOG
EQT Corporation,Energy,EQT
Equifax Inc.,Industrials,EFX
Equinix,Real Estate,EQIX
Equity Residential,Real Estate,EQR
"Essex Property Trust, Inc.",Real Estate,ESS
Estee Lauder Cos.,Consumer Staples,EL
Everest Re Group Ltd.,Financials,RE
Eversource Energy,Utilities,ES
Exelon Corp.,Utilities,EXC
Expedia Inc.,Consumer Discretionary,EXPE
Expeditors International,Industrials,EXPD
Express Scripts,Health Care,ESRX
Extra Space Storage,Real Estate,EXR
Exxon Mobil Corp.,Energy,XOM
F5 Networks,Information Technology,FFIV
"Facebook, Inc.",Information Technology,FB
Fastenal Co,Industrials,FAST
Federal Realty Investment Trust,Real Estate,FRT
FedEx Corporation,Industrials,FDX
Fidelity National Information Services,Information Technology,FIS
Fifth Third Bancorp,Financials,FITB
FirstEnergy Corp,Utilities,FE
Fiserv Inc,Information Technology,FISV
FLIR Systems,Information Technology,FLIR
Flowserve Corporation,Industrials,FLS
Fluor Corp.,Industrials,FLR
FMC Corporation,Materials,FMC
Foot Locker Inc,Consumer Discretionary,FL
Ford Motor,Consumer Discretionary,F
Fortive Corp,Industrials,FTV
Fortune Brands Home & Security,Industrials,FBHS
Franklin Resources,Financials,BEN
Freeport-McMoRan Inc.,Materials,FCX
Gap Inc.,Consumer Discretionary,GPS
Garmin Ltd.,Consumer Discretionary,GRMN
Gartner Inc,Information Technology,IT
General Dynamics,Industrials,GD
General Electric,Industrials,GE
General Growth Properties Inc.,Real Estate,GGP
General Mills,Consumer Staples,GIS
General Motors,Consumer Discretionary,GM
Genuine Parts,Consumer Discretionary,GPC
Gilead Sciences,Health Care,GILD
Global Payments Inc.,Information Technology,GPN
Goldman Sachs Group,Financials,GS
Goodyear Tire & Rubber,Consumer Discretionary,GT
Grainger (W.W.) Inc.,Industrials,GWW
Halliburton Co.,Energy,HAL
Hanesbrands Inc,Consumer Discretionary,HBI
Harley-Davidson,Consumer Discretionary,HOG
Harris Corporation,Information Technology,HRS
Hartford Financial Svc.Gp.,Financials,HIG
Hasbro Inc.,Consumer Discretionary,HAS
HCA Holdings,Health Care,HCA
HCP Inc.,Real Estate,HCP
Helmerich & Payne,Energy,HP
Henry Schein,Health Care,HSIC
Hess Corporation,Energy,HES
Hewlett Packard Enterprise,Information Technology,HPE
Hilton Worldwide Holdings Inc,Consumer Discretionary,HLT
Hologic,Health Care,HOLX
Home Depot,Consumer Discretionary,HD
Honeywell Int'l Inc.,Industrials,HON
Hormel Foods Corp.,Consumer Staples,HRL
Host Hotels & Resorts,Real Estate,HST
HP Inc.,Information Technology,HPQ
Humana Inc.,Health Care,HUM
Huntington Bancshares,Financials,HBAN
Huntington Ingalls Industries,Industrials,HII
IDEXX Laboratories,Health Care,IDXX
IHS Markit Ltd.,Industrials,INFO
Illinois Tool Works,Industrials,ITW
Illumina Inc,Health Care,ILMN
Incyte,Health Care,INCY
Ingersoll-Rand PLC,Industrials,IR
Intel Corp.,Information Technology,INTC
Intercontinental Exchange,Financials,ICE
International Business Machines,Information Technology,IBM
International Paper,Materials,IP
Interpublic Group,Consumer Discretionary,IPG
Intl Flavors & Fragrances,Materials,IFF
Intuit Inc.,Information Technology,INTU
Intuitive Surgical Inc.,Health Care,ISRG
Invesco Ltd.,Financials,IVZ
IPG Photonics Corp.,Information Technology,IPGP
IQVIA Holdings Inc.,Health Care,IQV
Iron Mountain Incorporated,Real Estate,IRM
J. B. Hunt Transport Services,Industrials,JBHT
Jacobs Engineering Group,Industrials,JEC
JM Smucker,Consumer Staples,SJM
Johnson & Johnson,Health Care,JNJ
Johnson Controls International,Industrials,JCI
JPMorgan Chase & Co.,Financials,JPM
Juniper Networks,Information Technology,JNPR
Kansas City Southern,Industrials,KSU
Kellogg Co.,Consumer Staples,K
KeyCorp,Financials,KEY
Kimberly-Clark,Consumer Staples,KMB
Kimco Realty,Real Estate,KIM
Kinder Morgan,Energy,KMI
KLA-Tencor Corp.,Information Technology,KLAC
Kohl's Corp.,Consumer Discretionary,KSS
Kraft Heinz Co,Consumer Staples,KHC
Kroger Co.,Consumer Staples,KR
L Brands Inc.,Consumer Discretionary,LB
L-3 Communications Holdings,Industrials,LLL
Laboratory Corp. of America Holding,Health Care,LH
Lam Research,Information Technology,LRCX
Leggett & Platt,Consumer Discretionary,LEG
Lennar Corp.,Consumer Discretionary,LEN
Leucadia National Corp.,Financials,LUK
Lilly (Eli) & Co.,Health Care,LLY
Lincoln National,Financials,LNC
LKQ Corporation,Consumer Discretionary,LKQ
Lockheed Martin Corp.,Industrials,LMT
Loews Corp.,Financials,L
Lowe's Cos.,Consumer Discretionary,LOW
LyondellBasell,Materials,LYB
M&T Bank Corp.,Financials,MTB
Macerich,Real Estate,MAC
Macy's Inc.,Consumer Discretionary,M
Marathon Oil Corp.,Energy,MRO
Marathon Petroleum,Energy,MPC
Marriott Int'l.,Consumer Discretionary,MAR
Marsh & McLennan,Financials,MMC
Martin Marietta Materials,Materials,MLM
Masco Corp.,Industrials,MAS
Mastercard Inc.,Information Technology,MA
Mattel Inc.,Consumer Discretionary,MAT
McCormick & Co.,Consumer Staples,MKC
McDonald's Corp.,Consumer Discretionary,MCD
McKesson Corp.,Health Care,MCK
Medtronic plc,Health Care,MDT
Merck & Co.,Health Care,MRK
MetLife Inc.,Financials,MET
Mettler Toledo,Health Care,MTD
MGM Resorts International,Consumer Discretionary,MGM
Michael Kors Holdings,Consumer Discretionary,KORS
Microchip Technology,Information Technology,MCHP
Micron Technology,Information Technology,MU
Microsoft Corp.,Information Technology,MSFT
Mid-America Apartments,Real Estate,MAA
Mohawk Industries,Consumer Discretionary,MHK
Molson Coors Brewing Company,Consumer Staples,TAP
Mondelez International,Consumer Staples,MDLZ
